"","p_val","avg_logFC","pct.1","pct.2","p_val_adj","cluster","gene"
"Car6",0,1.3841292894008,1,0.91,0,"Acinar","Car6"
"Scgb2b26",0,1.36553119610857,1,0.93,0,"Acinar","Scgb2b26"
"Pip",0,1.33940855516966,1,0.968,0,"Acinar","Pip"
"Scgb1b27",0,1.23871372440905,1,0.998,0,"Acinar","Scgb1b27"
"Scgb2b27",0,1.1171973850495,1,0.994,0,"Acinar","Scgb2b27"
"Wfdc12",0,1.01724044443251,0.935,0.522,0,"Acinar","Wfdc12"
"Lpo",0,0.971691634294537,0.479,0.029,0,"Acinar","Lpo"
"Prol1",0,0.931908570100456,0.999,0.913,0,"Acinar","Prol1"
"Kcnn4",0,0.889913647045127,0.518,0.082,0,"Acinar","Kcnn4"
"Oit1",0,0.827538000165276,0.526,0.069,0,"Acinar","Oit1"
"Agt",0,0.710183079451699,0.423,0.036,0,"Acinar","Agt"
"Pigr",0,0.687738365888487,0.352,0.04,0,"Acinar","Pigr"
"Mucl2",0,0.663396639385896,1,1,0,"Acinar","Mucl2"
"Rap1gap",0,0.637618781437661,0.389,0.059,0,"Acinar","Rap1gap"
"Gcnt1",0,0.542951364886507,0.29,0.016,0,"Acinar","Gcnt1"
"Tcn2",1.50373464508082e-305,0.715005071319902,0.544,0.126,2.62236284755644e-301,"Acinar","Tcn2"
"Qsox1",1.55569528686784e-297,0.637755408791951,0.37,0.059,2.71297701076883e-293,"Acinar","Qsox1"
"Derl3",1.03848359232536e-295,0.605995854719384,0.387,0.064,1.81101153665619e-291,"Acinar","Derl3"
"Aqp5",8.22575474613067e-295,0.514715422170173,0.653,0.168,1.43448937017773e-290,"Acinar","Aqp5"
"Etv1",2.7100282760504e-270,0.775328918193044,0.277,0.035,4.7260183106043e-266,"Acinar","Etv1"
"4631405J19Rik",1.57278331486302e-268,0.508112778444022,0.169,0.008,2.74277682278963e-264,"Acinar","4631405J19Rik"
"St3gal1",2.28687338393035e-235,0.391733989271706,0.251,0.032,3.98807849423614e-231,"Acinar","St3gal1"
"St3gal4",1.47483013733458e-233,0.64124594368824,0.398,0.087,2.57195627649778e-229,"Acinar","St3gal4"
"Gne",1.77821094695539e-233,0.45057640900267,0.355,0.068,3.10102207039551e-229,"Acinar","Gne"
"Creb3l1",8.25058135206501e-230,0.344422880824918,0.231,0.027,1.43881888198662e-225,"Acinar","Creb3l1"
"4833423E24Rik",1.03461211904936e-224,0.366646128664293,0.297,0.049,1.80426007441018e-220,"Acinar","4833423E24Rik"
"Bhlha15",1.87087581303417e-184,0.3077312956314,0.218,0.032,3.26262033035029e-180,"Acinar","Bhlha15"
"A630073D07Rik",1.37981185353719e-169,0.406046785952694,0.644,0.235,2.40625389138351e-165,"Acinar","A630073D07Rik"
"Cldn10",1.57841018571388e-163,0.308252899739032,0.569,0.186,2.75258952286644e-159,"Acinar","Cldn10"
"Smco4",5.59620139072378e-163,0.342591454596094,0.463,0.139,9.7592156052832e-159,"Acinar","Smco4"
"P4hb",3.96680949076245e-155,0.409593143957797,0.45,0.142,6.91771907094063e-151,"Acinar","P4hb"
"Gm26917",1.95823428627257e-153,2.40872735227439,0.299,0.078,3.41496477183073e-149,"Acinar","Gm26917"
"Chpt1",5.42083144665987e-150,0.306526977461729,0.437,0.134,9.45338795983015e-146,"Acinar","Chpt1"
"Asns",2.5719553099294e-141,0.253438827596178,0.306,0.078,4.48523286498589e-137,"Acinar","Asns"
"Lrrc26",5.15986919804856e-133,0.296529001785069,0.41,0.131,8.99829589447688e-129,"Acinar","Lrrc26"
"Gfpt1",3.44700399487636e-124,0.284774459662025,0.264,0.067,6.01123026666488e-120,"Acinar","Gfpt1"
"Npdc1",7.55160562736828e-122,0.327057323239112,0.337,0.103,1.31692450535675e-117,"Acinar","Npdc1"
"Scd1",6.39492121789975e-118,0.251950807445185,0.185,0.036,1.11521031118954e-113,"Acinar","Scd1"
"Rrbp1",1.25906023938636e-108,0.335540713402984,0.494,0.194,2.19567515146587e-104,"Acinar","Rrbp1"
"Cpd",2.40934897356484e-108,0.367007955918657,0.336,0.111,4.20166367499972e-104,"Acinar","Cpd"
"2310057J18Rik",8.88919364220759e-107,1.50398118581096,0.228,0.059,1.55018647926458e-102,"Acinar","2310057J18Rik"
"Mgat4a",5.21197099337721e-101,0.282251186061677,0.194,0.046,9.08915621535052e-97,"Acinar","Mgat4a"
"Mup5",5.07166772638529e-100,1.23663097707342,0.865,0.635,8.8444813480433e-96,"Acinar","Mup5"
"Gale",1.55418273652703e-90,0.252152206438575,0.136,0.026,2.71033927422949e-86,"Acinar","Gale"
"Sec61a1",2.33062151533519e-85,0.293249824553323,0.242,0.075,4.06437086059304e-81,"Acinar","Sec61a1"
"Atp2a3",3.37600197449282e-75,0.26595968655081,0.283,0.103,5.88740984331802e-71,"Acinar","Atp2a3"
"Cgnl1",4.73939135053033e-74,0.346372886752048,0.189,0.056,8.26502457618984e-70,"Acinar","Cgnl1"
"Srsf10",4.8539657020095e-64,0.466332440649074,0.26,0.102,8.46483078773436e-60,"Acinar","Srsf10"
"Fam13a",1.02002174222311e-61,0.675276151884405,0.173,0.055,1.77881591626288e-57,"Acinar","Fam13a"
"Bpifa2",1.28232878761297e-54,1.34219894452868,0.72,0.501,2.23625317271825e-50,"Acinar","Bpifa2"
"Gm5886",2.95557577794915e-54,0.819206847571523,0.331,0.15,5.15422859916553e-50,"Acinar","Gm5886"
"Lars2",3.92165822580447e-52,0.806703094125528,0.28,0.124,6.83897977998041e-48,"Acinar","Lars2"
"Clec2d",1.18575953580791e-47,0.395369490933157,0.261,0.117,2.06784605449541e-43,"Acinar","Clec2d"
"Neat1",9.0558219904923e-47,0.625962048979239,0.421,0.233,1.57924479692195e-42,"Acinar","Neat1"
"Nktr",9.089065307998e-44,0.387401016791368,0.255,0.119,1.58504209906177e-39,"Acinar","Nktr"
"Rsrp1",1.03083891211101e-18,0.275131150478056,0.33,0.214,1.79767997883039e-14,"Acinar","Rsrp1"
"Mucl21",0,0.652582792345959,1,1,0,"Acinar/SD","Mucl2"
"Prol11",1.14617287655803e-229,0.522279349661699,0.999,0.915,1.99881087942955e-225,"Acinar/SD","Prol1"
"Scgb2b271",1.36395609080095e-198,0.421362464993829,1,0.994,2.37860302674778e-194,"Acinar/SD","Scgb2b27"
"Fxyd2",4.15946316534826e-198,0.694302036503138,0.913,0.573,7.25368781405083e-194,"Acinar/SD","Fxyd2"
"Scgb1b271",7.96901291822238e-184,0.366141561919641,1,0.998,1.3897161628088e-179,"Acinar/SD","Scgb1b27"
"Mup51",1.37440620263824e-159,0.469335717432653,0.908,0.634,2.39682697678082e-155,"Acinar/SD","Mup5"
"Car61",1.54840256424068e-155,0.31399696080736,1,0.912,2.70025923177932e-151,"Acinar/SD","Car6"
"Scgb2b261",1.33025448778934e-151,0.265722120258642,1,0.931,2.31983080125583e-147,"Acinar/SD","Scgb2b26"
"Gm424181",1.20274298413539e-121,0.370360162875969,0.942,0.722,2.09746349003371e-117,"Acinar/SD","Gm42418"
"Hbb-bs",1.72604383125206e-60,0.755464876705473,0.476,0.306,3.01004783732047e-56,"Acinar/SD","Hbb-bs"
"Ldhb",1.68831445941698e-53,0.70429013108948,0.395,0.227,2.94425158577728e-49,"Acinar/SD","Ldhb"
"Aes",7.04212834129122e-33,0.547688882014658,0.466,0.362,1.22807676143778e-28,"Acinar/SD","Aes"
"Tesc",1.45920271087091e-22,0.344608427760672,0.553,0.46,2.54470360748778e-18,"Acinar/SD","Tesc"
"Slc25a3",1.19424929945341e-20,0.324686069454868,0.6,0.565,2.0826513533168e-16,"Acinar/SD","Slc25a3"
"Cox5a",2.9891796092387e-18,0.273652065867997,0.617,0.576,5.21283032055137e-14,"Acinar/SD","Cox5a"
"Atp5h",1.41826364227255e-15,0.295789995270674,0.592,0.571,2.4733099657591e-11,"Acinar/SD","Atp5h"
"Gm58861",3.66791963454821e-14,0.389550486223071,0.234,0.166,6.39648505068862e-10,"Acinar/SD","Gm5886"
"Slc25a4",6.30603316960367e-14,0.417925906167509,0.365,0.302,1.09970912444718e-09,"Acinar/SD","Slc25a4"
"Prdx5",1.85211844380658e-13,0.339974045289419,0.426,0.372,3.2299093541543e-09,"Acinar/SD","Prdx5"
"Hba-a1",3.54699128104243e-12,0.269698330254351,0.248,0.186,6.1855980950099e-08,"Acinar/SD","Hba-a1"
"Mpc2",8.50397327720274e-11,0.380775935401504,0.411,0.379,1.48300789981139e-06,"Acinar/SD","Mpc2"
"Mpp6",1.06461816367134e-09,0.364966567376463,0.192,0.137,1.85658761562645e-05,"Acinar/SD","Mpp6"
"Atp5f1",1.10907139166756e-09,0.290507005052328,0.498,0.496,1.93410959992906e-05,"Acinar/SD","Atp5f1"
"Ndufb10",7.91709841147451e-08,0.3007907134313,0.399,0.378,0.00138066279197704,"Acinar/SD","Ndufb10"
"Oxct1",9.38094196703204e-08,0.471388967778081,0.258,0.221,0.00163594246963072,"Acinar/SD","Oxct1"
"Mdh1",1.4391589403595e-07,0.256679101601495,0.448,0.44,0.00250974927609293,"Acinar/SD","Mdh1"
"Rn18s-rs5",2.05101712114881e-07,0.359595799539773,0.185,0.141,0.0035767687575714,"Acinar/SD","Rn18s-rs5"
"Klk1",3.67213023264625e-162,1.9175020291426,0.949,0.765,6.40382791271179e-158,"Etv1+","Klk1"
"Atf3",7.30624525823544e-126,1.22843376187264,0.708,0.318,1.27413611058368e-121,"Etv1+","Atf3"
"Krt8",2.65154750835337e-103,0.983646271914636,0.706,0.352,4.62403369981744e-99,"Etv1+","Krt8"
"Krt18",1.64314862992649e-101,0.951954041893873,0.842,0.543,2.86548689572881e-97,"Etv1+","Krt18"
"Klk1b26",1.33489878550469e-88,0.741657159316008,0.972,0.759,2.32792999204163e-84,"Etv1+","Klk1b26"
"Wfdc2",3.10612447138061e-85,1.16504121383799,0.542,0.237,5.41677046564064e-81,"Etv1+","Wfdc2"
"Crisp3",3.300202455262e-84,0.614439317743778,0.943,0.719,5.75522306173139e-80,"Etv1+","Crisp3"
"Cldn4",2.52583222290384e-79,0.988358921040985,0.37,0.117,4.404798813522e-75,"Etv1+","Cldn4"
"Ubc",1.18597663666939e-71,0.793316454241343,0.83,0.623,2.06822465668774e-67,"Etv1+","Ubc"
"Klk1b11",1.78124406422831e-63,0.697180588663583,0.817,0.546,3.10631152360775e-59,"Etv1+","Klk1b11"
"Gm424182",9.09209623162837e-56,0.360079195702992,0.943,0.735,1.58557066183367e-51,"Etv1+","Gm42418"
"Jun",1.42584942661181e-55,0.69478657454189,0.669,0.393,2.48653881506833e-51,"Etv1+","Jun"
"Cracr2a",1.26353466371706e-47,0.797548958995241,0.162,0.039,2.20347810005618e-43,"Etv1+","Cracr2a"
