"","V1","V2","V15"
"1","NTRK1","NGF",0.999
"2","TAC1","TACR1",0.998
"3","NPS","TAC1",0.992
"4","NPS","CALCA",0.991
"5","GPR55","CNR1",0.989
"6","TAC1","KNG1",0.988
"7","CNR1","OPRL1",0.984
"8","CNR1","OPRD1",0.983
"9","GPR55","CNR2",0.979
"10","NPS","TACR1",0.975
"11","NPS","KNG1",0.969
"12","CNR2","OPRD1",0.965
"13","ENSG00000196689","TRPA1",0.963
"14","CNR2","OPRL1",0.963
"15","STOML3","ASIC3",0.958
"16","OPRL1","KNG1",0.957
"17","CALM1","CALM2",0.957
"18","OPRM1","KNG1",0.957
"19","TACR1","KNG1",0.956
"20","CNR1","FAAH",0.956
"21","NAPEPLD","FAAH",0.956
"22","OPRK1","KNG1",0.956
"23","KNG1","OPRD1",0.956
"24","STOML3","ASIC2",0.956
"25","CALM1","CALM3",0.955
"26","GRPR","TAC1",0.955
"27","ENSG00000196689","TRPM8",0.954
"28","NPS","GRPR",0.953
"29","TAC1","F2RL1",0.948
"30","TRPC1","TRPC3",0.947
"31","OPRM1","OPRD1",0.945
"32","ENSG00000196689","CNR1",0.944
"33","TRPM8","TRPA1",0.944
"34","CNR1","KNG1",0.942
"35","TRPC1","TRPC6",0.941
"36","P2RX2","P2RX3",0.94
"37","OPRM1","CNR1",0.938
"38","OPRK1","OPRD1",0.938
"39","CNR1","OPRK1",0.937
"40","TRPC3","TRPC6",0.937
"41","SCN10A","ANK1",0.936
"42","MGLL","FAAH",0.935
"43","NPS","F2RL1",0.935
"44","SCN11A","ANK1",0.931
"45","CALCA","TAC1",0.929
"46","ENSG00000196689","NGF",0.929
"47","OPRM1","CNR2",0.929
"48","GDNF","ARTN",0.928
"49","CNR2","OPRK1",0.927
"50","F2RL1","KNG1",0.926
"51","CNR2","KNG1",0.926
"52","SCN9A","ANK1",0.924
"53","GRPR","KNG1",0.923
"54","CNR2","FAAH",0.922
"55","INS","ANK1",0.921
"56","GRPR","TACR1",0.92
"57","GPR55","OPRL1",0.917
"58","TNF","INS",0.916
"59","OPRM1","GPR55",0.916
"60","GPR55","OPRD1",0.915
"61","GPR55","OPRK1",0.915
"62","TACR1","F2RL1",0.913
"63","GRPR","F2RL1",0.909
"64","CNR2","CNR1",0.908
"65","OPRL1","OPRK1",0.906
"66","GPR55","KNG1",0.906
"67","OPRM1","OPRK1",0.905
"68","ENSG00000196689","TAC1",0.905
"69","OPRL1","OPRD1",0.905
"70","OPRM1","OPRL1",0.905
"71","GDNF","NGF",0.903
"72","CNR1","MGLL",0.9
"73","NAPEPLD","CNR1",0.894
"74","ENSG00000196689","CALCA",0.888
"75","NAPEPLD","MGLL",0.887
"76","ABHD6","MGLL",0.882
"77","ENSG00000196689","FAAH",0.867
"78","ENSG00000196689","GPR55",0.863
"79","ENSG00000196689","P2RX3",0.857
"80","ENSG00000196689","ANK1",0.854
"81","ABHD6","FAAH",0.845
"82","NPS","NGF",0.843
"83","ABHD6","NAPEPLD",0.834
"84","NTRK1","INS",0.831
"85","ENSG00000196689","CALM1",0.831
"86","NAPEPLD","CNR2",0.829
"87","PIRT","TRPM8",0.827
"88","ENSG00000196689","ASIC3",0.826
"89","SCN10A","TRPM4",0.825
"90","ENSG00000196689","TRPC1",0.823
"91","NPS","INS",0.821
"92","ENSG00000196689","NPS",0.818
"93","ENSG00000196689","SCN10A",0.815
"94","GPR55","FAAH",0.806
"95","CALM3","CALM2",0.802
"96","NGF","KNG1",0.802
"97","CNR2","MGLL",0.797
"98","ENSG00000196689","TRPM5",0.795
"99","NGF","TAC1",0.793
"100","ENSG00000196689","GDNF",0.792
"101","TRPC3","TRPM4",0.791
"102","NGF","TRPA1",0.785
"103","ENSG00000196689","CALM3",0.782
"104","PIRT","ENSG00000196689",0.779
"105","TRPM3","TRPA1",0.777
"106","ENSG00000196689","CALM2",0.773
"107","ENSG00000196689","ARTN",0.771
"108","TRPC1","TRPM7",0.765
"109","NAPEPLD","GPR55",0.765
"110","NGF","CALCA",0.761
"111","TRPC6","TRPM4",0.759
"112","ENSG00000196689","TRPM3",0.758
"113","ENSG00000196689","CNR2",0.757
"114","TRPM7","RNPEP",0.752
"115","TRPC1","TRPM4",0.748
"116","TRPC1","RNPEP",0.747
"117","ENSG00000196689","TRPM4",0.745
"118","SCN10A","SCN9A",0.744
"119","ENSG00000196689","TRPC6",0.743
"120","ENSG00000196689","TRPC3",0.741
"121","TRPM7","TRPA1",0.74
"122","ENSG00000196689","KNG1",0.74
"123","OPRM1","TAC1",0.738
"124","ENSG00000196689","NAPEPLD",0.737
"125","GPR55","MGLL",0.736
"126","SCN10A","TRPA1",0.735
"127","TRPM8","ANK1",0.734
"128","TRPC3","TRPA1",0.734
"129","TAC1","OPRD1",0.733
"130","OPRL1","TAC1",0.731
"131","TRPC3","RNPEP",0.73
"132","TRPC1","TRPA1",0.729
"133","ABHD6","CNR1",0.727
"134","ENSG00000196689","NTRK1",0.727
"135","INS","NGF",0.723
"136","PIRT","TRPA1",0.72
"137","ENSG00000196689","TRPM7",0.718
"138","ENSG00000196689","STOML3",0.718
"139","ABHD6","CNR2",0.717
"140","TAC1","OPRK1",0.716
"141","ENSG00000196689","P2RX2",0.716
"142","CALCA","TRPA1",0.715
"143","TRPC1","TRPM3",0.715
"144","ARTN","TRPA1",0.714
"145","NGF","ASIC3",0.713
"146","ENSG00000196689","MGLL",0.71
"147","OPRM1","NPS",0.71
"148","ENSG00000196689","MRGPRD",0.71
"149","P2RX3","TRPA1",0.709
"150","CALCA","KNG1",0.706
"151","TRPC6","TRPA1",0.702
"152","NPS","OPRL1",0.701
"153","ENSG00000196689","SCN9A",0.701
"154","TRPA1","TRPM4",0.701
"155","NPS","OPRK1",0.7
"156","NPS","OPRD1",0.7
"157","ENSG00000196689","TACR1",0.699
"158","ENSG00000196689","F2RL1",0.695
"159","ENSG00000196689","TRPM1",0.694
"160","NTRK1","GDNF",0.693
"161","ENSG00000196689","TNF",0.692
"162","ASIC3","TRPA1",0.691
"163","ENSG00000196689","INS",0.69
"164","ENSG00000196689","OPRM1",0.685
"165","TAC1","TRPA1",0.685
"166","ENSG00000196689","RNPEP",0.685
"167","SCN9A","TRPA1",0.685
"168","CALCA","TACR1",0.684
"169","CALCA","P2RX3",0.684
"170","ENSG00000196689","GRPR",0.684
"171","ENSG00000196689","SCN11A",0.681
"172","TNF","NGF",0.68
"173","MRGPRD","TRPA1",0.68
"174","ENSG00000196689","OPRD1",0.68
"175","ENSG00000196689","OPRL1",0.679
"176","ENSG00000196689","OPRK1",0.679
"177","INS","CALCA",0.678
"178","ARTN","NGF",0.678
"179","ASIC3","P2RX3",0.678
"180","NGF","TACR1",0.676
"181","TRPA1","TRPM5",0.676
"182","ENSG00000196689","ABHD6",0.673
"183","ENSG00000196689","KCNK2",0.673
"184","NGF","OPRD1",0.671
"185","NPS","TRPA1",0.67
"186","ENSG00000196689","ASIC2",0.67
"187","KNG1","TRPA1",0.669
"188","TRPC3","CALM1",0.668
"189","SCN11A","TRPA1",0.668
"190","TRPC3","TRPM5",0.668
"191","NTRK1","CALCA",0.667
"192","TRPM1","TRPA1",0.663
"193","TRPC1","TRPM5",0.663
"194","TAC1","P2RX3",0.66
"195","INS","TRPM5",0.657
"196","TRPC6","RNPEP",0.655
"197","SCN10A","TRPM8",0.655
"198","TRPM8","MRGPRD",0.654
"199","MRGPRD","P2RX3",0.65
"200","INS","KNG1",0.65
"201","NGF","P2RX3",0.644
"202","F2RL1","TRPA1",0.641
"203","INS","CNR1",0.64
"204","PIRT","P2RX3",0.639
"205","NTRK1","TAC1",0.638
"206","KCNK2","TRPA1",0.632
"207","OPRM1","CALCA",0.63
"208","TRPM7","KNG1",0.628
"209","TRPM8","P2RX3",0.627
"210","SCN10A","NGF",0.623
"211","SCN10A","P2RX3",0.619
"212","KCNK2","TRPM8",0.619
"213","TRPM8","RNPEP",0.619
"214","INS","FAAH",0.615
"215","CALCA","TRPM8",0.614
"216","CNR1","TAC1",0.61
"217","ABHD6","GPR55",0.606
"218","NTRK1","ARTN",0.602
"219","INS","CALM1",0.601
"220","TRPA1","ASIC2",0.597
"221","NTRK1","NPS",0.593
"222","OPRL1","CALCA",0.593
"223","SCN10A","ASIC3",0.592
"224","NPS","CNR1",0.59
"225","TRPM8","SCN11A",0.589
"226","TNF","TAC1",0.589
"227","SCN11A","P2RX3",0.587
"228","TRPM8","TAC1",0.586
"229","SCN10A","MRGPRD",0.583
"230","CALCA","OPRD1",0.58
"231","CNR1","TRPA1",0.579
"232","CALCA","OPRK1",0.579
"233","P2RX2","TRPA1",0.577
"234","SCN10A","TAC1",0.575
"235","NTRK1","SCN10A",0.574
"236","INS","TAC1",0.57
"237","NTRK1","TRPA1",0.57
"238","TNF","KNG1",0.567
"239","NTRK1","P2RX3",0.561
"240","GDNF","INS",0.56
"241","SCN9A","TRPM8",0.559
"242","NPS","P2RX3",0.557
"243","SCN9A","NGF",0.557
"244","TACR1","TRPA1",0.556
"245","TRPM8","ASIC3",0.555
"246","TRPM8","KNG1",0.553
"247","NGF","TRPM8",0.552
"248","OPRM1","TRPA1",0.551
"249","CNR2","TRPA1",0.549
"250","GDNF","CALCA",0.547
"251","SCN9A","ASIC3",0.546
"252","CALCA","ANK1",0.545
"253","TAC1","ASIC3",0.543
"254","RNPEP","TRPA1",0.541
"255","NPS","MRGPRD",0.54
"256","CALCA","ASIC3",0.538
"257","OPRM1","FAAH",0.535
"258","OPRM1","SCN9A",0.535
"259","OPRM1","NGF",0.531
"260","TNF","CALCA",0.53
"261","OPRM1","SCN10A",0.53
"262","TRPA1","OPRD1",0.529
"263","SCN9A","P2RX3",0.527
"264","TNF","NPS",0.525
"265","KNG1","P2RX3",0.524
"266","KCNK2","TRPM3",0.524
"267","P2RX2","TRPM5",0.521
"268","P2RX2","TRPM8",0.519
"269","TRPA1","FAAH",0.518
"270","ASIC3","KNG1",0.517
"271","GDNF","TAC1",0.514
"272","OPRM1","CALM1",0.514
"273","TAC1","ANK1",0.512
"274","TRPC1","CALM1",0.511
"275","NTRK1","ASIC3",0.511
"276","NGF","CNR1",0.511
"277","P2RX2","ASIC3",0.51
"278","P2RX3","ASIC2",0.51
"279","TRPC1","NGF",0.508
"280","TRPM8","ASIC2",0.507
"281","TRPC1","TNF",0.507
"282","NTRK1","MRGPRD",0.505
"283","CNR2","TRPM8",0.501
"284","SCN10A","CALCA",0.501
